Fase,Workstream,ID,Título,Sprint,Tipo,Responsable,Estado,Prioridad,Inicio,Fin,DoD (Definition of Done),KPI impactado,Ciudad/Área,Notas,Depends on
,Clientes y Encaje,IMM-004,Definir Dimensionamiento del Mercado - TAM/SAM/SOM,,,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,,,
,Clientes y Encaje,IMM-003,Entrevistas para validar suposiciones v2,,,Gabriella Bairan,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-11T00:00:00.000-04:00,,,,,
,Servicio y Producto,IMM-002,Definir Enmarcación de oportunidades,,,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,,,
Etapa 0,Clientes y Encaje,IMM-001,Definir Perfil del cliente y puntos de dolor,Semana 1,Tarea,Erick Santana,Backlog,,2025-09-03T00:00:00.000-04:00,2025-09-04T00:00:00.000-04:00,,,PC/SD,,
Etapa 0,Servicio y Producto,T-000,Contratar competencia y absorber información sobre sus productos/servicios,Semana 1,Tarea,Asirio santana,En curso,,,,,,,,
Etapa 0,Proveedores Técnicos,T-002,Entrevistas con proveedores (5),Semana 1,Tarea,Gabriella Bairan,Backlog,Alta,,,5 entrevistas y hoja de tarifas/SLA preliminar,Capacidad de ejecución,PC/SD,,
Etapa 0,Servicio y Producto,T-003,Flujo estándar del servicio v0.1,Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-18T00:00:00.000-04:00,2025-08-19T00:00:00.000-04:00,Documento “Diagnóstico→Coordinación→Ejecución→Cierre→Cobro” aprobado,Consistencia operativa,PC/SD,,
Etapa 0,Servicio y Producto,T-004,Ficha mínima del activo (plantilla),Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-20T00:00:00.000-04:00,2025-08-21T00:00:00.000-04:00,"Campos definidos, fotos requeridas, ejemplo cargado en sistema",Calidad de datos,PC/SD,,
Etapa 0,Datos y Sistemas,T-005,Tablero sin código para tickets (pipeline),Semana 1,Tarea,Erick Santana,Backlog,Alta,2025-08-22T00:00:00.000-04:00,2025-08-23T00:00:00.000-04:00,"Columnas/estados listos, permisos y vistas de agente creadas",Visibilidad integral,PC/SD,,
Etapa 0,Operación de Agentes,T-006,Guiones T-30 y T-7 + protocolo de objeciones,Semana 2,Tarea,,Backlog,Alta,,,"Guiones publicados, roleplay con 2 agentes",% citas en primera interacción,PC/SD,,
Etapa 0,Go-to-Market,T-007,Captar 20 hogares para registro de activos,Semana 2,Tarea,,Backlog,Media,,,20 hogares con al menos 1 activo cargado,Activos por cliente,PC/SD,,
Etapa 0,Pagos y Facturación,T-008,Tokenización de tarjeta + consentimiento,Semana 2,Tarea,,Backlog,Alta,,,"Formulario de consentimiento, token de prueba y cargo de prueba exitoso",Ciclo aprobación→cobro,PC/SD,,
Etapa 0,Pagos y Facturación,T-009,Primer cobro real en producción,Semana 2,Tarea,,Backlog,Alta,,,Servicio real cobrado automáticamente al marcar “Trabajo completado”,Ciclo aprobación→cobro,PC/SD,,T-008
Etapa 0,Servicio y Producto,T-010,10 pilotos pagados end-to-end,Semana 3,Épica,,Backlog,Alta,,,10 tickets cerrados con evidencia y cobro,% cierre / Calidad,PC/SD,,"T-003,T-004,T-005,T-009"
Etapa 0,Datos y Sistemas,T-011,Cabina de mando v1 (4 KPIs),Semana 3,Tarea,Erick Santana,Backlog,Alta,,,"Panel con: % cierre, tiempo aprobación→cobro, activos/cliente, puntualidad técnico",Decisión basada en datos,PC/SD,,T-005
Etapa 0,Servicio y Producto,T-012,Retro y eliminar top-3 fricciones,Semana 4,Tarea,Erick Santana,Backlog,Alta,,,Lista de fricciones priorizada y 3 mejoras implementadas,Mejora continua,PC/SD,,"T-010,T-011"
Etapa 0,Go-to-Market,T-013,A/B propuesta comercial para condominios,Semana 4,Tarea,,Backlog,Media,,,"2 versiones probadas, tasa de aceptación registrada",Adquisición,PC/SD,,
Etapa 0,Go-to-Market,T-014,Alianza firmada con 1 condominio,Semana 4,Hito,,Backlog,Alta,,,Contrato firmado y campaña de registro activada,Activos registrados,PC/SD,,T-013
Etapa 1,Proveedores Técnicos,T-015,Onboarding de proveedores por categoría (PC/SD),,Épica,,Backlog,Alta,,,≥2 proveedores confiables por categoría en cada zona,Capacidad de ejecución,PC/SD,,T-002
Etapa 1,Proveedores Técnicos,T-016,Estándares de servicio y precios por categoría,,Tarea,,Backlog,Alta,,,"SLA, rango de precios, seguridad y checklists publicados",Calidad / Coste,PC/SD,,T-015
Etapa 1,Operación de Agentes,T-017,Ritual semanal de agentes (coaching + métricas),,Tarea,,Backlog,Media,,,"Reunión fija con tablero, práctica y acciones concretas",% cierre / Cero tickets sin update,PC/SD,,T-006
Etapa 1,Pagos y Facturación,T-018,Reintentos de cobro + tarjeta de respaldo,,Tarea,,Backlog,Alta,,,Reglas de reintentos y segunda tarjeta probadas,Caja / Cobrabilidad,PC/SD,,T-009
Etapa 1,Servicio y Producto,T-019,One-click confirmación para el cliente,,Tarea,,Backlog,Media,,,"Botón “Confirmar” en portal o mensaje, con registro en ticket",% citas en 1ra interacción,PC/SD,,T-005
Etapa 1,Servicio y Producto,T-020,Agrupar órdenes multi-activo en una visita,,Tarea,,Backlog,Media,,,Lógica y prueba piloto con 5 hogares,Tiempo y coste por orden,PC/SD,,T-015
Etapa 1,Datos y Sistemas,T-021,Sincronización con calendarios (Google/Outlook),,Tarea,,Backlog,Media,,,Bloqueo de horario funcionando en 2 casos reales,% citas cumplidas,PC/SD,,T-005
Etapa 1,Servicio y Producto,T-022,Tracking de técnico con llegada estimada,,Tarea,,Backlog,Media,,,Enlace de seguimiento y confirmación de llegada en 10 servicios,Experiencia cliente,PC/SD,,T-015
Etapa 1,Legal y Tributario,T-023,Formalizar contratos y políticas mínimas,,Tarea,,Backlog,Alta,,,"Contratos cliente/proveedor, datos y reembolsos aprobados",Confianza / Cumplimiento,PC/SD,,
Etapa 1,Finanzas y Economía,T-024,Modelos de economía por servicio,,Tarea,,Backlog,Alta,,,Margen por categoría y proveedor en hoja viva,Margen / Precios,PC/SD,,
Etapa 1,Finanzas y Economía,T-025,Flujo de caja semanal y disciplina de cierre,,Tarea,,Backlog,Alta,,,Reporte semanal con proyección 4 semanas y variaciones,Caja,PC/SD,,
Etapa 1,Finanzas y Economía,T-026,Línea de crédito operativa para picos,,Tarea,,Backlog,Media,,,Línea aprobada y política de uso,Caja,PC/SD,,T-025
Etapa 1,Marca y Comunicaciones,T-027,Encuesta corta de recomendación integrada,,Tarea,,Backlog,Media,,,Encuesta enviada automáticamente al cerrar y almacenada,Recomendación cliente,PC/SD,,T-011
Etapa 1,Operación de Agentes,T-028,Operativizar Principios Inquebrantables,,Épica,,Backlog,Alta,,,Checklists y auditoría semanal de cumplimiento,Consistencia,PC/SD,,T-006
Etapa 1,Go-to-Market,T-029,3 alianzas con condominios,,Hito,,Backlog,Alta,,,Tres contratos firmados y campañas activas,Adquisición,PC/SD,,"T-013,T-014"
Etapa 1,Go-to-Market,T-030,"Hito: 300 hogares / 1,200 activos",,Hito,,Backlog,Alta,,,Métricas alcanzadas y reportadas,Tracción,PC/SD,,T-015..T-029
Etapa 2,Datos y Sistemas,T-031,Automatización de ruteo y calendarización,,Épica,,Backlog,Alta,,,Asignación automática según zona/skill y ventanas <2h,Eficiencia / Experiencia,Nacional,,T-021
Etapa 2,Servicio y Producto,T-032,Webhooks o flujo técnico automatizado,,Tarea,,Backlog,Media,,,Cerrar ticket y disparar cobro con “Trabajo completado”,Ciclo aprobación→cobro,Nacional,,T-022
Etapa 2,Proveedores Técnicos,T-033,Programa de calidad y certificaciones,,Épica,,Backlog,Media,,,"Checklists auditados, badges y bonificaciones por calidad",Calidad / Seguridad,Nacional,,T-016
Etapa 2,Legal y Tributario,T-034,Decisión sobre fideicomiso de administración,,Hito,,Backlog,Media,,,Modelo financiero comparativo + decisión “go/no-go”,Riesgo / Confianza,Nacional,,T-025
Etapa 2,Extensiones (Año 2-3),T-035,Diseño de programa de recompra y reventa,,Tarea,,Backlog,Media,,,"Proceso, precios guía y canales definidos",Nuevos ingresos,Nacional,,
Etapa 2,Datos y Sistemas,T-036,Escalamiento de datos (almacenamiento ligero),,Tarea,,Backlog,Media,,,Exportaciones y backups automáticos,Confiabilidad,Nacional,,T-011
Etapa 2,Riesgo y Calidad,T-037,Auditorías aleatorias de calidad,,Tarea,,Backlog,Media,,,5% de servicios auditados mensualmente,Mejora continua,Nacional,,T-033
Etapa 2,Go-to-Market,T-038,Plan de cobertura nacional,,Tarea,,Backlog,Alta,,,"Mapa de ciudades, proveedores y metas trimestrales",Escala,Nacional,,T-029
Etapa 2,Go-to-Market,T-039,"Hito: 5,000 hogares / 20,000 activos",,Hito,,Backlog,Alta,,,Métricas alcanzadas y reportadas,Escala,Nacional,,"T-031,T-032,T-033,T-034,T-035,T-036,T-037,T-038"
Etapa 3,Extensiones (Año 2-3),T-040,Piloto de trade-in y reventa,,Épico,,Backlog,Media,,,10 operaciones cerradas con satisfacción del cliente,Nuevos ingresos,Nacional,,T-035
Etapa 3,Extensiones (Año 2-3),T-041,Evaluación de punto de venta liviano,,Tarea,,Backlog,Media,,,Caso de negocio y prueba en micro-showroom,Ingresos / Marca,Nacional,,T-038
Etapa 3,Datos y Sistemas,T-042,Personalización de recordatorios y precios,,Tarea,,Backlog,Media,,,Reglas por historial y comportamiento en producción,Retención / Margen,Nacional,,T-011
Etapa 3,Go-to-Market,T-043,Expansión nacional completa,,Hito,,Backlog,Alta,,,Operación estable en ciudades objetivo,Escala,Nacional,,T-038
Etapa 3,Go-to-Market,T-044,Estudio de expansión regional,,Tarea,,Backlog,Media,,,2 países pre-seleccionados con criterios claros,Estrategia,Regional,,T-043
Etapa 3,Go-to-Market,T-045,Hito: 20k hogares / 80k activos,,Hito,,Backlog,Alta,,,Métricas alcanzadas y reportadas,Liderazgo,Nacional,,T-043
Etapa 3,Marca y Comunicaciones,T-046,Hito: Recomendación ≥ 60,,Hito,,Backlog,Media,,,Promedio trimestral ≥ 60 con plan de mejora continuo,Satisfacción,Nacional,,T-027
Etapa 3,Finanzas y Economía,T-047,Hito: Recuperación de adquisición ≤ 3 meses,,Hito,,Backlog,Media,,,Métrica alcanzada y monitoreada,Salud financiera,Nacional,,"T-024,T-025"
Etapa 0,Clientes y Encaje,T-001,Entrevistas con clientes (10 PC + 10 SD),Semana 1,Tarea,Gabriella Bairan,Completada,Alta,,,"Guía aplicada, 20 entrevistas registradas, insights sintetizados",Aprendizaje cliente,PC/SD,,
